rider_id,city_id,hire_date,status,shift_type
1,6,01-10-2022,active,night
2,1,01-10-2022,active,evening
3,1,01-10-2022,inactive,night
4,4,01-10-2022,active,night
5,3,01-10-2022,active,day
6,4,01-10-2022,active,evening
7,7,02-10-2022,active,day
8,2,02-10-2022,active,night
9,2,02-10-2022,active,evening
10,1,02-10-2022,active,day
11,5,03-10-2022,active,night
12,5,03-10-2022,active,evening
13,4,03-10-2022,active,day
14,5,03-10-2022,active,evening
15,6,03-10-2022,active,evening
16,6,03-10-2022,active,night
17,8,03-10-2022,active,day
18,2,03-10-2022,active,evening
19,4,03-10-2022,active,night
20,3,03-10-2022,active,evening
21,2,03-10-2022,active,day
22,1,03-10-2022,active,night
23,5,03-10-2022,active,night
24,1,04-10-2022,active,evening
25,5,04-10-2022,active,night
26,6,04-10-2022,active,day
27,8,04-10-2022,inactive,evening
28,4,04-10-2022,active,evening
29,1,04-10-2022,active,night
30,5,04-10-2022,active,night
31,3,04-10-2022,active,evening
32,7,04-10-2022,active,night
33,3,04-10-2022,active,evening
34,1,04-10-2022,active,evening
35,7,04-10-2022,active,evening
36,7,04-10-2022,active,day
37,8,04-10-2022,active,evening
38,5,05-10-2022,active,evening
39,6,05-10-2022,active,night
40,8,05-10-2022,active,day
41,3,05-10-2022,inactive,evening
42,1,05-10-2022,active,evening
43,8,05-10-2022,active,night
44,4,05-10-2022,active,evening
45,7,05-10-2022,active,evening
46,1,06-10-2022,active,night
47,1,06-10-2022,active,evening
48,2,06-10-2022,active,night
49,4,06-10-2022,active,day
50,4,06-10-2022,active,day
51,3,06-10-2022,active,day
52,3,06-10-2022,active,day
53,2,06-10-2022,active,day
54,8,06-10-2022,active,night
55,6,06-10-2022,active,night
56,8,06-10-2022,active,night
57,8,06-10-2022,active,day
58,5,07-10-2022,active,night
59,3,07-10-2022,active,day
60,7,07-10-2022,active,day
61,5,07-10-2022,active,night
62,1,07-10-2022,active,day
63,1,07-10-2022,active,evening
64,2,07-10-2022,active,day
65,1,07-10-2022,active,night
66,4,08-10-2022,active,day
67,5,08-10-2022,active,day
68,5,08-10-2022,active,evening
69,8,08-10-2022,active,day
70,1,08-10-2022,inactive,night
71,6,08-10-2022,active,evening
72,2,09-10-2022,active,day
73,6,09-10-2022,active,day
74,8,09-10-2022,active,day
75,7,09-10-2022,active,night
76,1,09-10-2022,active,night
77,2,09-10-2022,active,day
78,6,09-10-2022,active,night
79,6,09-10-2022,active,night
80,6,09-10-2022,active,night
81,3,09-10-2022,active,evening
82,2,09-10-2022,active,night
83,4,10-10-2022,inactive,night
84,8,10-10-2022,active,day
85,7,10-10-2022,active,day
86,2,10-10-2022,active,day
87,8,10-10-2022,inactive,day
88,4,10-10-2022,active,evening
89,7,10-10-2022,active,day
90,5,10-10-2022,active,night
91,1,10-10-2022,active,night
92,5,10-10-2022,active,day
93,4,10-10-2022,inactive,day
94,2,10-10-2022,active,night
95,8,11-10-2022,inactive,evening
96,2,11-10-2022,active,night
97,3,11-10-2022,active,evening
98,5,11-10-2022,active,day
99,2,11-10-2022,active,night
100,6,11-10-2022,active,night
101,7,11-10-2022,active,evening
102,2,11-10-2022,active,night
103,5,11-10-2022,active,day
104,4,11-10-2022,active,night
105,1,11-10-2022,active,night
106,6,11-10-2022,active,night
107,3,11-10-2022,active,evening
108,8,11-10-2022,inactive,evening
109,8,11-10-2022,active,evening
110,1,11-10-2022,active,evening
111,4,11-10-2022,active,evening
112,5,12-10-2022,active,evening
113,7,12-10-2022,active,evening
114,5,12-10-2022,active,day
115,1,12-10-2022,active,day
116,1,12-10-2022,inactive,night
117,5,12-10-2022,active,night
118,2,12-10-2022,active,evening
119,2,12-10-2022,active,day
120,5,12-10-2022,active,evening
121,5,12-10-2022,active,evening
122,2,12-10-2022,active,night
123,4,12-10-2022,active,day
124,1,12-10-2022,active,night
125,2,12-10-2022,active,night
126,1,12-10-2022,active,evening
127,6,13-10-2022,active,night
128,6,13-10-2022,active,day
129,2,13-10-2022,inactive,night
130,7,13-10-2022,active,evening
131,1,13-10-2022,active,day
132,3,13-10-2022,active,night
133,2,13-10-2022,active,night
134,2,13-10-2022,active,day
135,8,13-10-2022,active,evening
136,6,13-10-2022,active,night
137,1,13-10-2022,active,day
138,5,13-10-2022,active,night
139,3,13-10-2022,active,day
140,5,13-10-2022,active,night
141,6,13-10-2022,active,evening
142,8,13-10-2022,active,evening
143,7,13-10-2022,active,day
144,8,14-10-2022,active,night
145,8,14-10-2022,active,night
146,5,14-10-2022,active,evening
147,1,14-10-2022,active,night
148,7,14-10-2022,active,night
149,2,14-10-2022,active,day
150,3,14-10-2022,active,night
151,4,14-10-2022,active,evening
152,5,14-10-2022,active,evening
153,2,14-10-2022,active,day
154,3,14-10-2022,active,day
155,6,14-10-2022,active,day
156,8,14-10-2022,active,day
157,7,15-10-2022,active,day
158,6,15-10-2022,active,day
159,1,15-10-2022,active,evening
160,3,15-10-2022,active,evening
161,1,15-10-2022,active,day
162,7,15-10-2022,active,evening
163,7,15-10-2022,active,night
164,5,15-10-2022,active,evening
165,2,15-10-2022,active,evening
166,5,15-10-2022,active,evening
167,3,15-10-2022,active,night
168,5,16-10-2022,active,day
169,6,16-10-2022,active,evening
170,8,16-10-2022,active,evening
171,3,16-10-2022,active,evening
172,2,16-10-2022,active,night
173,4,16-10-2022,active,day
174,8,16-10-2022,active,evening
175,8,16-10-2022,active,day
176,8,16-10-2022,active,night
177,2,16-10-2022,active,evening
178,6,16-10-2022,inactive,night
179,1,16-10-2022,active,evening
180,2,16-10-2022,inactive,night
181,1,16-10-2022,active,night
182,5,16-10-2022,active,night
183,4,16-10-2022,active,evening
184,4,16-10-2022,active,day
185,2,17-10-2022,active,night
186,8,17-10-2022,active,night
187,2,17-10-2022,active,night
188,6,17-10-2022,active,evening
189,5,17-10-2022,active,day
190,8,17-10-2022,active,day
191,8,17-10-2022,active,evening
192,2,17-10-2022,active,evening
193,4,17-10-2022,active,night
194,5,17-10-2022,active,evening
195,4,17-10-2022,inactive,night
196,1,17-10-2022,active,day
197,8,17-10-2022,inactive,evening
198,5,18-10-2022,active,evening
199,3,18-10-2022,active,evening
200,8,18-10-2022,active,night
201,2,18-10-2022,active,evening
202,4,18-10-2022,active,evening
203,4,18-10-2022,active,night
204,7,18-10-2022,active,evening
205,5,19-10-2022,active,day
206,5,19-10-2022,active,day
207,8,19-10-2022,inactive,day
208,8,19-10-2022,active,day
209,4,19-10-2022,active,evening
210,3,19-10-2022,active,day
211,8,19-10-2022,active,evening
212,1,20-10-2022,active,evening
213,1,20-10-2022,active,day
214,3,20-10-2022,active,evening
215,2,20-10-2022,active,evening
216,2,20-10-2022,active,night
217,7,20-10-2022,inactive,evening
218,1,20-10-2022,active,day
219,4,20-10-2022,active,evening
220,2,20-10-2022,active,night
221,6,20-10-2022,inactive,night
222,6,21-10-2022,active,day
223,8,21-10-2022,active,night
224,6,21-10-2022,active,night
225,5,21-10-2022,active,evening
226,2,21-10-2022,active,night
227,5,21-10-2022,active,night
228,8,21-10-2022,active,night
229,1,21-10-2022,active,day
230,4,21-10-2022,active,day
231,6,22-10-2022,inactive,evening
232,8,22-10-2022,active,evening
233,1,22-10-2022,active,day
234,2,22-10-2022,active,evening
235,6,22-10-2022,active,day
236,1,22-10-2022,active,night
237,5,23-10-2022,active,night
238,4,23-10-2022,active,night
239,8,23-10-2022,inactive,night
240,7,23-10-2022,inactive,evening
241,7,23-10-2022,active,day
242,4,23-10-2022,active,evening
243,1,23-10-2022,active,day
244,1,23-10-2022,active,night
245,6,23-10-2022,active,night
246,6,23-10-2022,active,night
247,5,23-10-2022,active,day
248,2,23-10-2022,active,night
249,5,23-10-2022,active,night
250,7,23-10-2022,active,night
251,7,23-10-2022,active,evening
252,1,23-10-2022,active,night
253,2,23-10-2022,active,night
254,2,23-10-2022,active,day
255,8,23-10-2022,active,evening
256,1,23-10-2022,active,day
257,6,23-10-2022,active,night
258,3,23-10-2022,active,day
259,7,23-10-2022,active,night
260,5,23-10-2022,active,evening
261,2,23-10-2022,active,day
262,5,23-10-2022,active,evening
263,6,24-10-2022,active,evening
264,1,24-10-2022,active,evening
265,3,24-10-2022,active,day
266,6,24-10-2022,active,day
267,6,24-10-2022,active,night
268,8,24-10-2022,active,day
269,7,24-10-2022,active,day
270,6,24-10-2022,active,night
271,4,24-10-2022,active,night
272,8,24-10-2022,active,day
273,7,24-10-2022,active,evening
274,4,25-10-2022,active,evening
275,8,25-10-2022,active,evening
276,2,25-10-2022,active,evening
277,8,25-10-2022,active,night
278,5,25-10-2022,active,evening
279,5,25-10-2022,active,night
280,6,25-10-2022,active,day
